market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agartala,23.84,91.28,2006,1,17.58,0.0,65.92
Agartala,23.84,91.28,2006,2,23.38,0.46,60.13
Agartala,23.84,91.28,2006,3,27.07,0.09,44.27
Agartala,23.84,91.28,2006,4,29.26,5.21,62.7
Agartala,23.84,91.28,2006,5,29.47,12.54,71.87
Agartala,23.84,91.28,2006,6,28.27,13.74,88.41
Agartala,23.84,91.28,2006,7,28.26,7.15,89.23
Agartala,23.84,91.28,2006,8,27.8,8.12,88.23
Agartala,23.84,91.28,2006,9,27.45,9.38,87.4
Agartala,23.84,91.28,2006,10,26.27,2.45,82.13
Agartala,23.84,91.28,2006,11,22.27,0.13,75.27
Agartala,23.84,91.28,2006,12,19.21,0.03,68.54
Agartala,23.84,91.28,2007,1,17.55,0.0,55.88
Agartala,23.84,91.28,2007,2,20.96,1.66,59.38
Agartala,23.84,91.28,2007,3,25.2,0.3,44.83
Agartala,23.84,91.28,2007,4,28.14,10.97,70.96
Agartala,23.84,91.28,2007,5,28.35,8.92,78.74
Agartala,23.84,91.28,2007,6,28.02,19.03,89.85
Agartala,23.84,91.28,2007,7,27.91,22.95,90.52
Agartala,23.84,91.28,2007,8,28.24,8.02,88.64
Agartala,23.84,91.28,2007,9,27.39,7.52,88.91
Agartala,23.84,91.28,2007,10,25.26,7.72,86.25
Agartala,23.84,91.28,2007,11,22.57,2.68,83.39
Agartala,23.84,91.28,2007,12,17.67,0.0,77.24
Agartala,23.84,91.28,2008,1,17.47,1.25,72.24
Agartala,23.84,91.28,2008,2,18.81,0.51,61.85
Agartala,23.84,91.28,2008,3,26.1,1.64,60.76
Agartala,23.84,91.28,2008,4,29.59,1.57,56.02
Agartala,23.84,91.28,2008,5,30.15,6.7,66.56
Agartala,23.84,91.28,2008,6,28.16,8.43,85.33
Agartala,23.84,91.28,2008,7,27.94,10.13,89.25
Agartala,23.84,91.28,2008,8,27.76,8.99,89.56
Agartala,23.84,91.28,2008,9,27.38,4.58,88.75
Agartala,23.84,91.28,2008,10,25.87,6.0,84.52
Agartala,23.84,91.28,2008,11,22.36,0.01,76.33
Agartala,23.84,91.28,2008,12,20.51,0.11,73.21
Agartala,23.84,91.28,2009,1,19.44,0.0,64.15
Agartala,23.84,91.28,2009,2,22.22,0.24,50.77
Agartala,23.84,91.28,2009,3,26.99,0.94,45.41
Agartala,23.84,91.28,2009,4,30.35,2.46,58.56
Agartala,23.84,91.28,2009,5,29.4,9.68,73.52
Agartala,23.84,91.28,2009,6,28.49,12.16,86.81
Agartala,23.84,91.28,2009,7,28.44,14.64,88.46
Agartala,23.84,91.28,2009,8,28.35,11.29,87.92
Agartala,23.84,91.28,2009,9,27.68,6.49,87.89
Agartala,23.84,91.28,2009,10,25.64,4.41,83.84
Agartala,23.84,91.28,2009,11,22.41,1.16,80.0
Agartala,23.84,91.28,2009,12,18.57,0.33,74.09
Agartala,23.84,91.28,2010,1,18.02,0.0,63.19
Agartala,23.84,91.28,2010,2,21.27,0.39,49.95
Agartala,23.84,91.28,2010,3,27.59,2.05,53.47
Agartala,23.84,91.28,2010,4,29.89,5.31,67.89
Agartala,23.84,91.28,2010,5,28.7,13.17,80.62
Agartala,23.84,91.28,2010,6,28.15,15.65,90.21
Agartala,23.84,91.28,2010,7,28.26,5.51,89.07
Agartala,23.84,91.28,2010,8,28.11,8.74,88.21
Agartala,23.84,91.28,2010,9,27.4,6.24,89.1
Agartala,23.84,91.28,2010,10,26.36,7.89,86.96
Agartala,23.84,91.28,2010,11,23.41,0.27,81.38
Agartala,23.84,91.28,2010,12,18.59,1.97,76.54
Agartala,23.84,91.28,2011,1,16.73,0.01,68.2
Agartala,23.84,91.28,2011,2,21.46,0.07,55.39
Agartala,23.84,91.28,2011,3,26.2,1.71,53.68
Agartala,23.84,91.28,2011,4,28.7,2.38,59.33
Agartala,23.84,91.28,2011,5,28.75,11.44,78.6
Agartala,23.84,91.28,2011,6,28.06,9.58,87.78
Agartala,23.84,91.28,2011,7,28.1,7.56,87.87
Agartala,23.84,91.28,2011,8,27.57,13.1,89.83
Agartala,23.84,91.28,2011,9,27.51,5.82,89.07
Agartala,23.84,91.28,2011,10,26.57,1.47,81.49
Agartala,23.84,91.28,2011,11,22.88,0.0,70.54
Agartala,23.84,91.28,2011,12,19.73,0.0,65.86
Agartala,23.84,91.28,2012,1,18.18,0.27,58.83
